Examen,Examen,Examen,Estudios del examen,Estudios del examen,
Codigo,Abreviatura,Descripcion,Codigo,Descripcion,
45,CH,CITOMETRIA HEMATICA COMPLETA,leuct,LEUCOCITOS TOTALES,
45,CH,CITOMETRIA HEMATICA COMPLETA,RBC,GLOBULOS ROJOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,HGB,HEMOGLOBINA,
45,CH,CITOMETRIA HEMATICA COMPLETA,HCT,HEMATOCRITO,
45,CH,CITOMETRIA HEMATICA COMPLETA,VCM,Volumen globular medio,
45,CH,CITOMETRIA HEMATICA COMPLETA,HCM,HCM,
45,CH,CITOMETRIA HEMATICA COMPLETA,MCHC,CMHC,
45,CH,CITOMETRIA HEMATICA COMPLETA,PLT,PLAQUETAS,
45,CH,CITOMETRIA HEMATICA COMPLETA,VPM,VOLUMEN PLAQUETARIO MEDIO,
45,CH,CITOMETRIA HEMATICA COMPLETA,LYM,LINFOCITOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,MON%,MONOCITOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,NEU,NEUTROFILOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,BAS%,BASOFILOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,RDW,RDW,
45,CH,CITOMETRIA HEMATICA COMPLETA,MON#,MONOCITOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,NEU,NEUTROFILOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,EO#,EOSINOFILOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,BAS#,BASOFILOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,EO%,EOSINOFILOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,ban,BANDAS,
45,CH,CITOMETRIA HEMATICA COMPLETA,meta,Metamielocitos,
45,CH,CITOMETRIA HEMATICA COMPLETA,miel,Mielocitos,
45,CH,CITOMETRIA HEMATICA COMPLETA,PROM,PROMIELOCITOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,BLAS,BLASTOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,LINF,LINFOCITOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,RET,RETICULOCITOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,shs,INDUCCIÓN DE DREPANOCITOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,BA,BANDAS,
45,CH,CITOMETRIA HEMATICA COMPLETA,ABSRETIS,RETICULOCITOS ABSOLUTOS,
45,CH,CITOMETRIA HEMATICA COMPLETA,prli,PRECURSORES LINFOIDES,
ATD3,ATD3,ANTIDOPING 3 DROGAS,CANA,CANABINOIDES,
ATD3,ATD3,ANTIDOPING 3 DROGAS,174,ANFETAMINAS,
ATD3,ATD3,ANTIDOPING 3 DROGAS,COCA,COCAINA,
ATD5,ATD5,ANTIDOPING (5 DROGAS),COCA,COCAINA,
ATD5,ATD5,ANTIDOPING (5 DROGAS),174,ANFETAMINAS,
ATD5,ATD5,ANTIDOPING (5 DROGAS),BENZ,BENZODIACEPINAS,
ATD5,ATD5,ANTIDOPING (5 DROGAS),CANA,CANABINOIDES,
ATD5,ATD5,ANTIDOPING (5 DROGAS),MET,METANFETAMINAS,
BILIS,BILIS,BILIRRUBINAS,BD,BILIRRUBINA DIRECTA,
BILIS,BILIS,BILIRRUBINAS,BT,BILIRRUBINA TOTAL,
BILIS,BILIS,BILIRRUBINAS,BI,BILIRRUBINA INDIRECTA,
69,ELE,"Electrolitos séricos 3 (Na, K, Cl",25,CLORO SÉRICO,
69,ELE,"Electrolitos séricos 3 (Na, K, Cl",219,POTASIO,
69,ELE,"Electrolitos séricos 3 (Na, K, Cl",NA,SODIO,
PERFCAR,PERFCAD,PERFIL CARDIACO,48,Creatinfosfoquinasa (CPK),
PERFCAR,PERFCAD,PERFIL CARDIACO,CPK-MB,CPK-MB,
PERFCAR,PERFCAD,PERFIL CARDIACO,63,Deshidrogenasa láctica (DHL),
PERFCAR,PERFCAD,PERFIL CARDIACO,TGO,TGO,
PERFCAR,PERFCAD,PERFIL CARDIACO,TGP,TGP,
PERLIP,PERLIP,PERFIL DE LIPIDOS,32,Colesterol de baja densidad (LDL),
PERLIP,PERLIP,PERFIL DE LIPIDOS,COLVLDL,COLESTEROL VLDL,
PERLIP,PERLIP,PERFIL DE LIPIDOS,TRI,TRIGLICERIDOS,
PERLIP,PERLIP,PERFIL DE LIPIDOS,31,Colesterol de alta densidad (HDL),
PERLIP,PERLIP,PERFIL DE LIPIDOS,34,COLESTEROL,
PERLIP,PERLIP,PERFIL DE LIPIDOS,162,LIPIDOS TOTALES,
PERLIP,PERLIP,PERFIL DE LIPIDOS,PDLIPIDOS,INDICE ATEROGENICO,
PERFHEP,PERFHEP,PERFIL HEPATICO,GLOB,GLOBULINA,
PERFHEP,PERFHEP,PERFIL HEPATICO,RAG,RELACION ALBUMINA GLOBULINA,
PERFHEP,PERFHEP,PERFIL HEPATICO,101,Gammaglutamil transpeptidasa (GGT),
PERFHEP,PERFHEP,PERFIL HEPATICO,63,Deshidrogenasa láctica (DHL),
PERFHEP,PERFHEP,PERFIL HEPATICO,95,Fosfatasa alcalina (ALP),
PERFHEP,PERFHEP,PERFIL HEPATICO,TGP,TGP,
PERFHEP,PERFHEP,PERFIL HEPATICO,TGO,TGO,
PERFHEP,PERFHEP,PERFIL HEPATICO,PROT-S,PROTEINAS TOTALES,
PERFHEP,PERFHEP,PERFIL HEPATICO,BT,BILIRRUBINA TOTAL,
PERFHEP,PERFHEP,PERFIL HEPATICO,BI,BILIRRUBINA INDIRECTA,
PERFHEP,PERFHEP,PERFIL HEPATICO,BD,BILIRRUBINA DIRECTA,
PERFHEP,PERFHEP,PERFIL HEPATICO,24,ALBUMINA,
QS3,"QS3(GLU,UR,CR)",QUIMICA SANGUINEA 3,GLU,GLUCOSA,
QS3,"QS3(GLU,UR,CR)",QUIMICA SANGUINEA 3,URE,UREA,
QS3,"QS3(GLU,UR,CR)",QUIMICA SANGUINEA 3,50,Creatinina sérica,
QS3,"QS3(GLU,UR,CR)",QUIMICA SANGUINEA 3,171,BUN,
QSCOR,"QS (GLU,COL,TRIG)",QUIMICA SANGUINEA CORONARIA,34,COLESTEROL,
QSCOR,"QS (GLU,COL,TRIG)",QUIMICA SANGUINEA CORONARIA,TRI,TRIGLICERIDOS,
QSCOR,"QS (GLU,COL,TRIG)",QUIMICA SANGUINEA CORONARIA,GLU,GLUCOSA,
QSC,"QSC6(GLU,UR,CRET,COL,TRIG,AU)",QUIMICA SANGUINEA 6,GLU,GLUCOSA,
QSC,"QSC6(GLU,UR,CRET,COL,TRIG,AU)",QUIMICA SANGUINEA 6,TRI,TRIGLICERIDOS,
QSC,"QSC6(GLU,UR,CRET,COL,TRIG,AU)",QUIMICA SANGUINEA 6,URE,UREA,
QSC,"QSC6(GLU,UR,CRET,COL,TRIG,AU)",QUIMICA SANGUINEA 6,50,Creatinina sérica,
QSC,"QSC6(GLU,UR,CRET,COL,TRIG,AU)",QUIMICA SANGUINEA 6,34,COLESTEROL,
QSC,"QSC6(GLU,UR,CRET,COL,TRIG,AU)",QUIMICA SANGUINEA 6,AURIC,ACIDO URICO,
QSC,"QSC6(GLU,UR,CRET,COL,TRIG,AU)",QUIMICA SANGUINEA 6,171,BUN,
83,EGO,Examen general de orina,COLOR,COLOR,
83,EGO,Examen general de orina,ASPECTO,ASPECTO,
83,EGO,Examen general de orina,DENSIDAD,DENSIDAD,
83,EGO,Examen general de orina,PHUR,PH.,
83,EGO,Examen general de orina,GLUCOSA,GLUCOSA,
83,EGO,Examen general de orina,PROTEINAS,PROTEINAS,
83,EGO,Examen general de orina,CUERPOS CETONICOS,CUERPOS CETONICOS,
83,EGO,Examen general de orina,BILIRRUBINA,BILIRRUBINA,
83,EGO,Examen general de orina,UROBILINOGENO,UROBILINOGENO,
83,EGO,Examen general de orina,NITRITOS,NITRITOS,
83,EGO,Examen general de orina,LEUCOCITOS ESTERASA,LEUCOCITOS ESTERASA,
83,EGO,Examen general de orina,HEMOGLOBINA,HEMOGLOBINA,
83,EGO,Examen general de orina,CELULAS EPITELIALES ESCAMOSAS,CELULAS EPITELIALES ESCAMOSAS,
83,EGO,Examen general de orina,CELULAS URETRALES,CELULAS URETRALES,
83,EGO,Examen general de orina,CELULAS UROTELIALES,CELULAS UROTELIALES,
83,EGO,Examen general de orina,CELULAS RENALES,CELULAS RENALES,
83,EGO,Examen general de orina,PIOCITOS,PIOCITOS,
83,EGO,Examen general de orina,BACTERIAS,BACTERIAS,
83,EGO,Examen general de orina,FILAMENTOS DE MUCINA,FILAMENTO DE MUCINA,
83,EGO,Examen general de orina,ERITROCITOS,ERITROCITOS,
83,EGO,Examen general de orina,LEVADURAS,LEVADURAS,
83,EGO,Examen general de orina,CILINDROS DE,CILINDROS,
83,EGO,Examen general de orina,CRISTALES DE,CRISTALES,
83,EGO,Examen general de orina,OTROS,OTROS,
83,EGO,Examen general de orina,LEUUR,LEUCOCITOS,
DENGUE,DENGUE,DENGUE IgG e IgM NS1,NS1,NS1,
DENGUE,DENGUE,DENGUE IgG e IgM NS1,DENGUE IgG,DENGUE IgG,
DENGUE,DENGUE,DENGUE IgG e IgM NS1,DENGIgM,DENGUE IgM,
PERFREU,PERFREU,PERFIL REUMATICO,VSG,SEDIMENTACION GLOBULAR,
PERFREU,PERFREU,PERFIL REUMATICO,AURIC,ACIDO URICO,
PERFREU,PERFREU,PERFIL REUMATICO,ASO,ANTI-ESTREPTOLISINA O,
PERFREU,PERFREU,PERFIL REUMATICO,85,Factor reumatoide,
PERFREU,PERFREU,PERFIL REUMATICO,PCR,PROTEINA C REACTIVA,
RF,RF,REACCIONES FEBRILES,TIFICO O,TIFICO O,
RF,RF,REACCIONES FEBRILES,TIFICO H,TIFICO H,
RF,RF,REACCIONES FEBRILES,PARATIFICO B,PARATIFICO B,
RF,RF,REACCIONES FEBRILES,PARATIFICO A,PARATIFICO A,
RF,RF,REACCIONES FEBRILES,BRUCELLA ABORTUS,BRUCELLA ABORTUS,
RF,RF,REACCIONES FEBRILES,PROTEUS,PROTEUS,
PRENUPCIAL INDIVIDUAL 2,PRENU2,PRENUPCIAL,VDRL,VDRL,
PRENUPCIAL INDIVIDUAL 2,PRENU2,PRENUPCIAL,grupo,GRUPO SANGUÍNEO,
PRENUPCIAL INDIVIDUAL 2,PRENU2,PRENUPCIAL,VIH,HIV 1 Y 2,
PRENUPCIAL INDIVIDUAL 2,PRENU2,PRENUPCIAL,P24,Antigeno P 24,
PRENUPCIAL 1 INDIVIDUAL,PREN,PRENUPCIAL,grupo,GRUPO SANGUÍNEO,
PRENUPCIAL 1 INDIVIDUAL,PREN,PRENUPCIAL,VDRL,VDRL,
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,GLU,GLUCOSA,
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,BT,BILIRRUBINA TOTAL,
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,50,Creatinina sérica,
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,63,Deshidrogenasa láctica (DHL),
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,95,Fosfatasa alcalina (ALP),
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,31,Colesterol de alta densidad (HDL),
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,TRI,TRIGLICERIDOS,
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,TGO,TGO,
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,TGP,TGP,
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,32,Colesterol de baja densidad (LDL),
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,34,COLESTEROL,
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,URE,UREA,
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,AURIC,ACIDO URICO,
QS12,QS12,QUIMICA SANGUINEA 12 ELEMENTOS,171,BUN,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,LINF,LINFOCITOS,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,MONO,MONOCITOS,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,EO,EOSINOFILOS,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,OC,OTRAS CELULAS,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,8,Isoenzimas de deshidrogenasa láctica (LDH),
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,PROT,PROTEINAS,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,TIN,TINTA CHINA,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,COLOR,COLOR,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,ASP,ASPECTO,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,DESP,DESPUÉS DE CENTRIFUGADO,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,XANT,XANTOCROMIA,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,LEU,LEUCOCITOS,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,ERI,ERITROCITOS,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,GLU,GLUCOSA,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,RECDIF,RECUENTO DIFERENCIAL,
17,CITO,CITOQUIMICO EN LIQUIDO ORGANICOS,BAAR3,BAAR3,
COPROL,COPROL,COPROLOGICO,CONC,CONSISTENCIA,
COPROL,COPROL,COPROLOGICO,COLC,COLOR,
COPROL,COPROL,COPROLOGICO,OLOC,OLOR,
COPROL,COPROL,COPROLOGICO,PRESC,PRESENCIA DE SANGRE,
COPROL,COPROL,COPROLOGICO,MOCO,MOCO,
COPROL,COPROL,COPROLOGICO,RESTA,RESTOS ALIMENTICIOS,
COPROL,COPROL,COPROLOGICO,PARA,PARASITOS,
COPROL,COPROL,COPROLOGICO,PHC,PH.,
COPROL,COPROL,COPROLOGICO,AZURE,AZUCARES REDUCTORES,
COPROL,COPROL,COPROLOGICO,SOH,S.O.H,
COPROL,COPROL,COPROLOGICO,LEUC,LEUCOCITOS,
COPROL,COPROL,COPROLOGICO,ERIC,ERITROCITOS,
COPROL,COPROL,COPROLOGICO,CEEPI,CELULAS EPITELIALES,
COPROL,COPROL,COPROLOGICO,CRISC,CRISTALES,
COPROL,COPROL,COPROLOGICO,GRAN,GRASAS NEUTRAS,
COPROL,COPROL,COPROLOGICO,RESALV,RESTOS ALIMENTICIOS VEGETALES,
COPROL,COPROL,COPROLOGICO,LEVC,LEVADURAS,
COPROL,COPROL,COPROLOGICO,FILC,FILAMENTO DE MUCINA,
COPROL,COPROL,COPROLOGICO,BACTE,BACTERIA,
COPROL,COPROL,COPROLOGICO,ALMIDON,ALMIDON,
COPROL,COPROL,COPROLOGICO,OTROS,OTROS,
COPROL,COPROL,COPROLOGICO,EXAMEN MACROSCOPICO,EXAMEN MACROSCOPICO,
2471,PGINE6,PERFIL GINECOLÓGICO,256-OR,TESTOSTERONA TOTAL,
2471,PGINE6,PERFIL GINECOLÓGICO,141-OR,HORMONA LUTEINIZANTE (HL),
2471,PGINE6,PERFIL GINECOLÓGICO,139-OR,HORMONA FOLICULO ESTIMULANTE (FSH),
2471,PGINE6,PERFIL GINECOLÓGICO,PROGE,PROGESTERONA,
2471,PGINE6,PERFIL GINECOLÓGICO,225,PROLACTINA,
2471,PGINE6,PERFIL GINECOLÓGICO,77,Estradiol (E2),
2471,PGINE6,PERFIL GINECOLÓGICO,ET,ESTROGENOS TOTALES,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,171,BUN,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,AURIC,ACIDO URICO,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,NA,SODIO,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,133,HIERRO SERICO,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,219,POTASIO,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,34,COLESTEROL,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,162,LIPIDOS TOTALES,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,PDLIPIDOS,INDICE ATEROGENICO,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,RAG,RELACION ALBUMINA GLOBULINA,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,GLOB,GLOBULINA,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,24,ALBUMINA,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,ami,AMILASA,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,BD,BILIRRUBINA DIRECTA,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,BT,BILIRRUBINA TOTAL,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,BI,BILIRRUBINA INDIRECTA,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,GLU,GLUCOSA,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,32,Colesterol de baja densidad (LDL),
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,97,Fósforo sérico,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,COLVLDL,COLESTEROL VLDL,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,TGO,TGO,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,PROT-S,PROTEINAS TOTALES,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,165,MAGNESIO SERICO,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,TGP,TGP,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,TRI,TRIGLICERIDOS,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,URE,UREA,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,31,Colesterol de alta densidad (HDL),
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,50,Creatinina sérica,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,101,Gammaglutamil transpeptidasa (GGT),
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,63,Deshidrogenasa láctica (DHL),
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,95,Fosfatasa alcalina (ALP),
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,CPK-MB,CPK-MB,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,48,Creatinfosfoquinasa (CPK),
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,25,CLORO SÉRICO,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,CA S,CALCIO,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,PDCP1,INDICE DE CASTELLI I,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,PDCP2,ÍNDICE DE CASTELLI II,
QS32,QS32,QUIMICA SANGUINEA 32 ELEMENTOS,COEFAT,COEFICIENTE ATEROGÉNICO,
QS4,"QS4(GLU,URE,CRE,AU)",QUIMICA SANGUINEA 4,50,Creatinina sérica,
QS4,"QS4(GLU,URE,CRE,AU)",QUIMICA SANGUINEA 4,URE,UREA,
QS4,"QS4(GLU,URE,CRE,AU)",QUIMICA SANGUINEA 4,GLU,GLUCOSA,
QS4,"QS4(GLU,URE,CRE,AU)",QUIMICA SANGUINEA 4,AURIC,ACIDO URICO,
QS4,"QS4(GLU,URE,CRE,AU)",QUIMICA SANGUINEA 4,171,BUN,
PTIR  419,PTIR,PERFIL TIROIDEO,T4Y,T4 YODO,
PTIR  419,PTIR,PERFIL TIROIDEO,WE,YODO BUTANOLICO,
PTIR  419,PTIR,PERFIL TIROIDEO,TSH1,HORMONA ESTIMULANTE DE TIROIDES (TSH),
PTIR  419,PTIR,PERFIL TIROIDEO,T3T,T3 TOTAL (TRIYODOTIRONINA),
PTIR  419,PTIR,PERFIL TIROIDEO,T4T,T4 TOTAL (TIROXINA TOTAL),
PTIR  419,PTIR,PERFIL TIROIDEO,T3L,T3 LIBRE (TRIYODOTIRONINA LIBRE),
PTIR  419,PTIR,PERFIL TIROIDEO,YP,YODO PROTEÍCO,
PTIR  419,PTIR,PERFIL TIROIDEO,T4LI,T4 LIBRE (TIROXINA LIBRE),
PTIR  419,PTIR,PERFIL TIROIDEO,TUC,T-UPTAKE CAPTACION,
PTIR  419,PTIR,PERFIL TIROIDEO,ITL,"INDICE DE TIROXINA LIBRE (ITL,FTI)",
HELICO,HELICO,PERFIL HELICOBACTER PYLORI,1992,HELICOBACTER PYLORI EN HECES,
HELICO,HELICO,PERFIL HELICOBACTER PYLORI,350,AC. ANTI HELICOBACTER PYLORI IgG,
HELICO,HELICO,PERFIL HELICOBACTER PYLORI,1183,ANTI HELICOBACTER PILORY IgM,
155,PANHEP,PANEL DE HEPATITIS,HBsAg,Antigeno de superficie de Hepatitis B (HBsAg),
155,PANHEP,PANEL DE HEPATITIS,AHA,"ANTICUERPOS ANTI HEPATITIS ""A"" IgM (HAV-M)",
155,PANHEP,PANEL DE HEPATITIS,HCV,ANTI HEPATITIS C TOTAL,
155,PANHEP,PANEL DE HEPATITIS,52,"ANTICUERPOS ANTI HEPATITIS ""A"" IgG (HAV-G)",
155,PANHEP,PANEL DE HEPATITIS,55,Anticuerpo de superficie de HEPATITIS B (HBSAb),
155,PANHEP,PANEL DE HEPATITIS,56,Anticuerpo de envoltura de Hepatitis B (HBeAb),
155,PANHEP,PANEL DE HEPATITIS,58,Anticuerpo de nucleo de la hepatitis B (HBcAB),
155,PANHEP,PANEL DE HEPATITIS,HBeag,Antigeno de envoltura de Hepatitis B (HBeAg),
PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,105-ORT,ALFAFETOPROTEINA,
PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,611-ORT,ANTIGENO CARCINOEMBRIONARIO,
PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,631,ANTIGENO CA-125,
PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,632,ANTIGENO CA-15-3,
PERFTUM,PERFTUM,PERFIL TUMORAL FEMENINO,ANTIGENO CA-19-9,ANTIGENO CA-19-9,
GFH,ANA2,ANTICUERPOS ANTI NUCLEARES (ANA),498,ANTICUERPOS ANTI NUCLEARES (IgG),
GFH,ANA2,ANTICUERPOS ANTI NUCLEARES (ANA),895,PATRÓN DE INMUNOFLUORESCENCIA,
23131313131,WESTERNBLOT,WESTERN BLOT,564651,Anticuerpos anti GP 160 (ENV),
23131313131,WESTERNBLOT,WESTERN BLOT,654564,Anticuerpos anti GP 120 (ENV),
23131313131,WESTERNBLOT,WESTERN BLOT,6542324,Anticuerpos anti P 66,
23131313131,WESTERNBLOT,WESTERN BLOT,56456,Anticuerpos anti P 55 (GAG),
23131313131,WESTERNBLOT,WESTERN BLOT,65456412,Anticuerpos anti P 51,
23131313131,WESTERNBLOT,WESTERN BLOT,56422,Anticuerpos anti PGP 41 (ENV),
23131313131,WESTERNBLOT,WESTERN BLOT,897897,Anticuerpos anti P 39,
23131313131,WESTERNBLOT,WESTERN BLOT,3465464,Anticuerpos anti P 31,
23131313131,WESTERNBLOT,WESTERN BLOT,P24,Antigeno P 24,
23131313131,WESTERNBLOT,WESTERN BLOT,2313212,Anticuerpos anti P 17,
23131313131,WESTERNBLOT,WESTERN BLOT,4564654,Anticuerpos anti HIV 2,
CHEMET,CHEMET,CHEQUEO METABOLICO,171,BUN,
CHEMET,CHEMET,CHEQUEO METABOLICO,PDLIPIDOS,INDICE ATEROGENICO,
CHEMET,CHEMET,CHEQUEO METABOLICO,162,LIPIDOS TOTALES,
CHEMET,CHEMET,CHEQUEO METABOLICO,AURIC,ACIDO URICO,
CHEMET,CHEMET,CHEQUEO METABOLICO,34,COLESTEROL,
CHEMET,CHEMET,CHEQUEO METABOLICO,GLU,GLUCOSA,
CHEMET,CHEMET,CHEQUEO METABOLICO,URE,UREA,
CHEMET,CHEMET,CHEQUEO METABOLICO,TRI,TRIGLICERIDOS,
CHEMET,CHEMET,CHEQUEO METABOLICO,COLVLDL,COLESTEROL VLDL,
CHEMET,CHEMET,CHEQUEO METABOLICO,50,Creatinina sérica,
CHEMET,CHEMET,CHEQUEO METABOLICO,31,Colesterol de alta densidad (HDL),
